                           ,Secure_Rate ,Secured_Tactics_distribution                                                                                                                                                                                                                      ,Secured_TTPs_among_APT_GROUP_USED_TTPs
APT3 (G0022)               ,25/43       ,"Counter({'discovery': 7, 'multiple': 4, 'collection': 2, 'execution': 2, 'credential-access': 2, 'defense-evasion': 2, 'lateral-movement': 2, 'persistence': 2, 'command-and-control': 1, 'exfiltration': 1})"                                   ,"{'T1041', 'T1083', 'T1082', 'T1070.004', 'T1027', 'T1059.001', 'T1033', 'T1059.003', 'T1049', 'T1547.001', 'T1555.003', 'T1136.001', 'T1057', 'T1005', 'T1016', 'T1105', 'T1021.002', 'T1021.001', 'T1087.001', 'T1056.001', 'T1003.001', 'T1543.003', 'T1074.001', 'T1053.005', 'T1098'}"
APT30 (G0013)              ,1/2         ,Counter({'initial-access': 1})                                                                                                                                                                                                                    ,{'T1566.001'}
APT18 (G0026)              ,9/12        ,"Counter({'command-and-control': 3, 'defense-evasion': 2, 'discovery': 2, 'execution': 1, 'multiple': 1})"                                                                                                                                        ,"{'T1071.004', 'T1083', 'T1059.003', 'T1082', 'T1070.004', 'T1547.001', 'T1105', 'T1071.001', 'T1027'}"
APT19 (G0073)              ,11/21       ,"Counter({'discovery': 3, 'command-and-control': 2, 'defense-evasion': 2, 'multiple': 2, 'execution': 1, 'initial-access': 1})"                                                                                                                   ,"{'T1112', 'T1033', 'T1082', 'T1543.003', 'T1016', 'T1547.001', 'T1071.001', 'T1132.001', 'T1566.001', 'T1027', 'T1059.001'}"
APT28 (G0007)              ,24/86       ,"Counter({'collection': 5, 'defense-evasion': 4, 'discovery': 3, 'credential-access': 3, 'multiple': 3, 'execution': 2, 'command-and-control': 2, 'initial-access': 1, 'lateral-movement': 1})"                                                   ,"{'T1070.001', 'T1120', 'T1083', 'T1070.004', 'T1546.015', 'T1003', 'T1566.001', 'T1027', 'T1059.001', 'T1119', 'T1560', 'T1059.003', 'T1547.001', 'T1036', 'T1003.003', 'T1057', 'T1113', 'T1005', 'T1105', 'T1021.002', 'T1071.001', 'T1056.001', 'T1003.001', 'T1074.001'}"
APT32 (G0050)              ,35/78       ,"Counter({'discovery': 9, 'defense-evasion': 6, 'multiple': 6, 'execution': 4, 'credential-access': 3, 'command-and-control': 2, 'exfiltration': 2, 'collection': 1, 'initial-access': 1, 'lateral-movement': 1})"                                ,"{'T1055', 'T1070.001', 'T1041', 'T1083', 'T1036.003', 'T1070.004', 'T1082', 'T1003', 'T1566.001', 'T1027', 'T1135', 'T1059.001', 'T1046', 'T1560', 'T1033', 'T1059.003', 'T1049', 'T1547.001', 'T1036', 'T1016', 'T1105', 'T1078.003', 'T1021.002', 'T1012', 'T1071.001', 'T1048.003', 'T1047', 'T1059.005', 'T1112', 'T1087.001', 'T1056.001', 'T1003.001', 'T1552.002', 'T1543.003', 'T1053.005'}"
APT33 (G0064)              ,14/31       ,"Counter({'command-and-control': 3, 'credential-access': 3, 'multiple': 3, 'execution': 2, 'defense-evasion': 1, 'exfiltration': 1, 'initial-access': 1})"                                                                                        ,"{'T1071.001', 'T1555', 'T1003.001', 'T1547.001', 'T1105', 'T1555.003', 'T1059.005', 'T1546.003', 'T1053.005', 'T1048.003', 'T1132.001', 'T1566.001', 'T1027', 'T1059.001'}"
APT37 (G0067)              ,17/29       ,"Counter({'discovery': 4, 'execution': 3, 'multiple': 3, 'command-and-control': 2, 'collection': 1, 'credential-access': 1, 'defense-evasion': 1, 'initial-access': 1, 'privilege-escalation': 1})"                                               ,"{'T1057', 'T1055', 'T1106', 'T1033', 'T1120', 'T1059.003', 'T1082', 'T1005', 'T1547.001', 'T1105', 'T1555.003', 'T1548.002', 'T1053.005', 'T1071.001', 'T1566.001', 'T1027', 'T1059.005'}"
APT38 (G0082)              ,23/43       ,"Counter({'discovery': 7, 'execution': 4, 'defense-evasion': 4, 'multiple': 3, 'collection': 2, 'command-and-control': 2, 'initial-access': 1})"                                                                                                  ,"{'T1562.004', 'T1070.001', 'T1083', 'T1518.001', 'T1070.004', 'T1082', 'T1566.001', 'T1135', 'T1059.001', 'T1033', 'T1059.003', 'T1049', 'T1057', 'T1005', 'T1105', 'T1115', 'T1071.001', 'T1059.005', 'T1112', 'T1056.001', 'T1543.003', 'T1053.005', 'T1106'}"
APT39 (G0087)              ,30/52       ,"Counter({'discovery': 5, 'multiple': 5, 'collection': 4, 'command-and-control': 4, 'credential-access': 3, 'execution': 2, 'defense-evasion': 2, 'lateral-movement': 2, 'exfiltration': 1, 'initial-access': 1, 'persistence': 1})"              ,"{'T1041', 'T1083', 'T1090.001', 'T1070.004', 'T1003', 'T1197', 'T1566.001', 'T1027', 'T1135', 'T1059.001', 'T1046', 'T1033', 'T1547.001', 'T1136.001', 'T1071.004', 'T1113', 'T1547.009', 'T1005', 'T1105', 'T1115', 'T1021.002', 'T1012', 'T1071.001', 'T1021.001', 'T1059.005', 'T1555', 'T1056.001', 'T1003.001', 'T1074.001', 'T1053.005'}"
APT41 (G0096)              ,36/76       ,"Counter({'discovery': 7, 'multiple': 6, 'defense-evasion': 5, 'execution': 3, 'command-and-control': 3, 'collection': 2, 'credential-access': 2, 'exfiltration': 2, 'lateral-movement': 2, 'persistence': 2, 'impact': 1, 'initial-access': 1})" ,"{'T1070.003', 'T1055', 'T1070.001', 'T1041', 'T1083', 'T1070.004', 'T1082', 'T1197', 'T1566.001', 'T1027', 'T1135', 'T1059.001', 'T1046', 'T1033', 'T1059.003', 'T1049', 'T1496', 'T1547.001', 'T1136.001', 'T1071.004', 'T1005', 'T1016', 'T1105', 'T1021.002', 'T1021.001', 'T1071.001', 'T1048.003', 'T1047', 'T1112', 'T1056.001', 'T1003.001', 'T1543.003', 'T1074.001', 'T1003.002', 'T1053.005', 'T1098'}"
Aquatic Panda (G0143)      ,9/15        ,"Counter({'discovery': 3, 'execution': 2, 'defense-evasion': 2, 'command-and-control': 1, 'credential-access': 1})"                                                                                                                               ,"{'T1003.001', 'T1059.003', 'T1518.001', 'T1562.001', 'T1070.004', 'T1082', 'T1105', 'T1007', 'T1059.001'}"
Axiom (G0001)              ,4/16        ,"Counter({'collection': 2, 'credential-access': 1, 'lateral-movement': 1})"                                                                                                                                                                       ,"{'T1003', 'T1021.001', 'T1560', 'T1005'}"
BackdoorDiplomacy (G0135)  ,7/15        ,"Counter({'discovery': 3, 'collection': 1, 'command-and-control': 1, 'defense-evasion': 1, 'multiple': 1})"                                                                                                                                       ,"{'T1046', 'T1120', 'T1049', 'T1105', 'T1074.001', 'T1055.001', 'T1027'}"
BITTER (G1002)             ,5/16        ,"Counter({'command-and-control': 2, 'defense-evasion': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                                                                   ,"{'T1105', 'T1053.005', 'T1071.001', 'T1566.001', 'T1027'}"
BlackOasis (G0063)         ,1/1         ,Counter({'defense-evasion': 1})                                                                                                                                                                                                                   ,{'T1027'}
BlackTech (G0098)          ,3/14        ,"Counter({'discovery': 1, 'execution': 1, 'initial-access': 1})"                                                                                                                                                                                  ,"{'T1106', 'T1046', 'T1566.001'}"
Blue Mockingbird (G0108)   ,14/22       ,"Counter({'multiple': 4, 'execution': 3, 'defense-evasion': 2, 'lateral-movement': 2, 'credential-access': 1, 'discovery': 1, 'impact': 1})"                                                                                                      ,"{'T1047', 'T1053.005', 'T1112', 'T1059.003', 'T1003.001', 'T1496', 'T1082', 'T1543.003', 'T1021.002', 'T1546.003', 'T1021.001', 'T1027', 'T1574.012', 'T1059.001'}"
Bouncing Golf (G0097)      ,0/1         ,Counter()                                                                                                                                                                                                                                         ,set()
Cleaver (G0003)            ,1/5         ,Counter({'credential-access': 1})                                                                                                                                                                                                                 ,{'T1003.001'}
Cobalt Group (G0080)       ,18/34       ,"Counter({'command-and-control': 5, 'multiple': 4, 'execution': 3, 'discovery': 2, 'defense-evasion': 1, 'initial-access': 1, 'lateral-movement': 1, 'privilege-escalation': 1})"                                                                 ,"{'T1053.005', 'T1055', 'T1046', 'T1071.004', 'T1518.001', 'T1059.003', 'T1572', 'T1070.004', 'T1543.003', 'T1547.001', 'T1105', 'T1219', 'T1059.005', 'T1548.002', 'T1021.001', 'T1071.001', 'T1566.001', 'T1059.001'}"
BRONZE BUTLER (G0060)      ,21/40       ,"Counter({'discovery': 5, 'execution': 3, 'command-and-control': 3, 'defense-evasion': 3, 'collection': 2, 'multiple': 2, 'credential-access': 1, 'initial-access': 1, 'privilege-escalation': 1})"                                               ,"{'T1518', 'T1083', 'T1070.004', 'T1566.001', 'T1059.001', 'T1059.003', 'T1562.001', 'T1547.001', 'T1036', 'T1113', 'T1005', 'T1105', 'T1071.001', 'T1124', 'T1059.005', 'T1087.002', 'T1003.001', 'T1548.002', 'T1007', 'T1053.005', 'T1132.001'}"
CopyKittens (G0052)        ,1/8         ,Counter({'execution': 1})                                                                                                                                                                                                                         ,{'T1059.001'}
Carbanak (G0008)           ,3/9         ,"Counter({'command-and-control': 1, 'defense-evasion': 1, 'multiple': 1})"                                                                                                                                                                        ,"{'T1219', 'T1543.003', 'T1562.004'}"
Dark Caracal (G0070)       ,7/12        ,"Counter({'collection': 2, 'command-and-control': 1, 'defense-evasion': 1, 'discovery': 1, 'execution': 1, 'multiple': 1})"                                                                                                                       ,"{'T1113', 'T1083', 'T1059.003', 'T1005', 'T1547.001', 'T1071.001', 'T1027'}"
Chimera (G0114)            ,33/59       ,"Counter({'discovery': 16, 'execution': 4, 'command-and-control': 4, 'collection': 2, 'defense-evasion': 2, 'lateral-movement': 2, 'credential-access': 1, 'exfiltration': 1, 'multiple': 1})"                                                    ,"{'T1070.001', 'T1041', 'T1083', 'T1069.001', 'T1572', 'T1070.004', 'T1082', 'T1135', 'T1059.001', 'T1119', 'T1046', 'T1033', 'T1059.003', 'T1049', 'T1003.003', 'T1057', 'T1201', 'T1071.004', 'T1016', 'T1105', 'T1021.002', 'T1012', 'T1071.001', 'T1021.001', 'T1047', 'T1482', 'T1124', 'T1087.002', 'T1087.001', 'T1074.001', 'T1007', 'T1053.005', 'T1106'}"
Confucius (G0142)          ,11/19       ,"Counter({'execution': 2, 'command-and-control': 2, 'discovery': 2, 'multiple': 2, 'collection': 1, 'exfiltration': 1, 'initial-access': 1})"                                                                                                     ,"{'T1119', 'T1041', 'T1083', 'T1082', 'T1547.001', 'T1105', 'T1059.005', 'T1053.005', 'T1071.001', 'T1566.001', 'T1059.001'}"
DarkVishnya (G0105)        ,5/10        ,"Counter({'discovery': 2, 'execution': 1, 'command-and-control': 1, 'multiple': 1})"                                                                                                                                                              ,"{'T1046', 'T1543.003', 'T1219', 'T1135', 'T1059.001'}"
CURIUM (G1012)             ,1/4         ,Counter({'collection': 1})                                                                                                                                                                                                                        ,{'T1005'}
Darkhotel (G0012)          ,13/24       ,"Counter({'discovery': 6, 'multiple': 3, 'command-and-control': 1, 'defense-evasion': 1, 'execution': 1, 'initial-access': 1})"                                                                                                                   ,"{'T1057', 'T1083', 'T1518.001', 'T1059.003', 'T1056.001', 'T1082', 'T1016', 'T1547.001', 'T1105', 'T1566.001', 'T1027', 'T1497.001', 'T1124'}"
Earth Lusca (G1006)        ,15/44       ,"Counter({'discovery': 6, 'execution': 3, 'defense-evasion': 2, 'multiple': 2, 'credential-access': 1, 'privilege-escalation': 1})"                                                                                                               ,"{'T1057', 'T1047', 'T1112', 'T1033', 'T1003.001', 'T1049', 'T1543.003', 'T1016', 'T1059.005', 'T1547.012', 'T1548.002', 'T1007', 'T1027', 'T1482', 'T1059.001'}"
DarkHydrus (G0079)         ,3/7         ,"Counter({'execution': 1, 'credential-access': 1, 'initial-access': 1})"                                                                                                                                                                          ,"{'T1566.001', 'T1187', 'T1059.001'}"
Ember Bear (G1003)         ,7/20        ,"Counter({'defense-evasion': 3, 'execution': 2, 'command-and-control': 1, 'initial-access': 1})"                                                                                                                                                  ,"{'T1112', 'T1562.001', 'T1059.003', 'T1105', 'T1566.001', 'T1027', 'T1059.001'}"
Deep Panda (G0009)         ,4/10        ,"Counter({'execution': 2, 'discovery': 1, 'lateral-movement': 1})"                                                                                                                                                                                ,"{'T1057', 'T1047', 'T1021.002', 'T1059.001'}"
Dragonfly (G0035)          ,27/56       ,"Counter({'discovery': 6, 'defense-evasion': 5, 'collection': 4, 'credential-access': 3, 'execution': 2, 'multiple': 2, 'persistence': 2, 'command-and-control': 1, 'initial-access': 1, 'lateral-movement': 1})"                                 ,"{'T1562.004', 'T1070.001', 'T1083', 'T1070.004', 'T1566.001', 'T1135', 'T1059.001', 'T1560', 'T1033', 'T1059.003', 'T1547.001', 'T1036', 'T1136.001', 'T1003.003', 'T1113', 'T1187', 'T1005', 'T1016', 'T1105', 'T1012', 'T1021.001', 'T1087.002', 'T1112', 'T1074.001', 'T1003.002', 'T1053.005', 'T1098'}"
Elderwood (G0066)          ,3/9         ,"Counter({'command-and-control': 1, 'defense-evasion': 1, 'initial-access': 1})"                                                                                                                                                                  ,"{'T1105', 'T1027', 'T1566.001'}"
Ferocious Kitten (G0137)   ,1/6         ,Counter({'initial-access': 1})                                                                                                                                                                                                                    ,{'T1566.001'}
FIN10 (G0051)              ,8/11        ,"Counter({'multiple': 3, 'execution': 2, 'defense-evasion': 1, 'discovery': 1, 'lateral-movement': 1})"                                                                                                                                           ,"{'T1033', 'T1059.003', 'T1070.004', 'T1547.001', 'T1078.003', 'T1021.001', 'T1053.005', 'T1059.001'}"
Equation (G0020)           ,1/4         ,Counter({'discovery': 1})                                                                                                                                                                                                                         ,{'T1120'}
Evilnum (G0120)            ,6/11        ,"Counter({'command-and-control': 2, 'credential-access': 1, 'defense-evasion': 1, 'multiple': 1, 'privilege-escalation': 1})"                                                                                                                     ,"{'T1555', 'T1070.004', 'T1219', 'T1548.002', 'T1105', 'T1497.001'}"
FIN5 (G0053)               ,4/11        ,"Counter({'collection': 2, 'defense-evasion': 2})"                                                                                                                                                                                                ,"{'T1119', 'T1074.001', 'T1070.001', 'T1070.004'}"
EXOTIC LILY (G1011)        ,1/15        ,Counter({'initial-access': 1})                                                                                                                                                                                                                    ,{'T1566.001'}
FIN7 (G0046)               ,16/50       ,"Counter({'execution': 4, 'multiple': 4, 'command-and-control': 3, 'collection': 2, 'discovery': 1, 'initial-access': 1, 'lateral-movement': 1})"                                                                                                 ,"{'T1053.005', 'T1071.004', 'T1113', 'T1033', 'T1059.003', 'T1543.003', 'T1005', 'T1547.001', 'T1105', 'T1219', 'T1546.011', 'T1059.005', 'T1021.001', 'T1566.001', 'T1047', 'T1059.001'}"
FIN13 (G1016)              ,28/53       ,"Counter({'discovery': 7, 'execution': 4, 'command-and-control': 4, 'credential-access': 3, 'multiple': 3, 'collection': 2, 'lateral-movement': 2, 'persistence': 2, 'defense-evasion': 1})"                                                      ,"{'T1083', 'T1090.001', 'T1572', 'T1082', 'T1135', 'T1059.001', 'T1046', 'T1059.003', 'T1049', 'T1547.001', 'T1036', 'T1003.003', 'T1136.001', 'T1005', 'T1016', 'T1105', 'T1021.002', 'T1021.001', 'T1071.001', 'T1047', 'T1059.005', 'T1087.002', 'T1056.001', 'T1003.001', 'T1074.001', 'T1003.002', 'T1053.005', 'T1098'}"
Fox Kitten (G0117)         ,17/41       ,"Counter({'discovery': 5, 'execution': 2, 'command-and-control': 2, 'credential-access': 2, 'lateral-movement': 2, 'collection': 1, 'defense-evasion': 1, 'multiple': 1, 'persistence': 1})"                                                      ,"{'T1087.002', 'T1053.005', 'T1046', 'T1087.001', 'T1083', 'T1059.003', 'T1003.001', 'T1572', 'T1005', 'T1003.003', 'T1105', 'T1021.002', 'T1021.001', 'T1012', 'T1136.001', 'T1027', 'T1059.001'}"
FIN4 (G0085)               ,4/12        ,"Counter({'command-and-control': 1, 'execution': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                                                                         ,"{'T1071.001', 'T1056.001', 'T1059.005', 'T1566.001'}"
FIN6 (G0037)               ,20/40       ,"Counter({'credential-access': 4, 'collection': 3, 'execution': 3, 'defense-evasion': 2, 'discovery': 2, 'multiple': 2, 'exfiltration': 1, 'initial-access': 1, 'lateral-movement': 1, 'command-and-control': 1})"                                ,"{'T1572', 'T1070.004', 'T1566.001', 'T1059.001', 'T1119', 'T1046', 'T1560', 'T1059.003', 'T1562.001', 'T1547.001', 'T1555.003', 'T1003.003', 'T1005', 'T1021.001', 'T1048.003', 'T1047', 'T1087.002', 'T1555', 'T1003.001', 'T1053.005'}"
FIN8 (G0061)               ,19/36       ,"Counter({'discovery': 4, 'execution': 3, 'defense-evasion': 3, 'command-and-control': 2, 'lateral-movement': 2, 'multiple': 2, 'credential-access': 1, 'exfiltration': 1, 'initial-access': 1})"                                                 ,"{'T1070.001', 'T1518.001', 'T1082', 'T1070.004', 'T1546.003', 'T1566.001', 'T1059.001', 'T1033', 'T1059.003', 'T1105', 'T1021.002', 'T1021.001', 'T1071.001', 'T1048.003', 'T1047', 'T1482', 'T1112', 'T1003.001', 'T1053.005'}"
GCMAN (G0036)              ,0/2         ,Counter()                                                                                                                                                                                                                                         ,set()
GOLD SOUTHFIELD (G0115)    ,3/9         ,"Counter({'execution': 1, 'collection': 1, 'command-and-control': 1})"                                                                                                                                                                            ,"{'T1059.001', 'T1219', 'T1113'}"
GALLIUM (G0093)            ,15/31       ,"Counter({'execution': 3, 'discovery': 3, 'collection': 2, 'credential-access': 2, 'defense-evasion': 2, 'command-and-control': 1, 'exfiltration': 1, 'multiple': 1})"                                                                            ,"{'T1047', 'T1041', 'T1033', 'T1036.003', 'T1059.003', 'T1049', 'T1003.001', 'T1005', 'T1016', 'T1105', 'T1074.001', 'T1003.002', 'T1053.005', 'T1027', 'T1059.001'}"
Group5 (G0043)             ,4/4         ,"Counter({'defense-evasion': 2, 'collection': 1, 'multiple': 1})"                                                                                                                                                                                 ,"{'T1056.001', 'T1027', 'T1070.004', 'T1113'}"
Gallmaker (G0084)          ,3/6         ,"Counter({'execution': 1, 'defense-evasion': 1, 'initial-access': 1})"                                                                                                                                                                            ,"{'T1566.001', 'T1027', 'T1059.001'}"
HEXANE (G1001)             ,16/35       ,"Counter({'discovery': 8, 'execution': 2, 'credential-access': 2, 'multiple': 2, 'command-and-control': 1, 'lateral-movement': 1})"                                                                                                               ,"{'T1518', 'T1057', 'T1053.005', 'T1555', 'T1010', 'T1033', 'T1069.001', 'T1056.001', 'T1049', 'T1082', 'T1016', 'T1105', 'T1059.005', 'T1555.003', 'T1021.001', 'T1059.001'}"
Gamaredon Group (G0047)    ,25/48       ,"Counter({'execution': 5, 'discovery': 5, 'defense-evasion': 5, 'collection': 3, 'command-and-control': 2, 'multiple': 2, 'exfiltration': 1, 'impact': 1, 'initial-access': 1})"                                                                  ,"{'T1041', 'T1120', 'T1083', 'T1070.004', 'T1027.004', 'T1082', 'T1566.001', 'T1027', 'T1059.001', 'T1119', 'T1033', 'T1059.003', 'T1562.001', 'T1547.001', 'T1057', 'T1113', 'T1005', 'T1105', 'T1071.001', 'T1047', 'T1491.001', 'T1059.005', 'T1112', 'T1053.005', 'T1106'}"
Inception (G0100)          ,12/22       ,"Counter({'discovery': 4, 'execution': 2, 'collection': 1, 'command-and-control': 1, 'credential-access': 1, 'defense-evasion': 1, 'initial-access': 1, 'multiple': 1})"                                                                          ,"{'T1518', 'T1057', 'T1083', 'T1082', 'T1005', 'T1547.001', 'T1059.005', 'T1555.003', 'T1071.001', 'T1566.001', 'T1027', 'T1059.001'}"
Gorgon Group (G0078)       ,12/16       ,"Counter({'execution': 4, 'multiple': 4, 'defense-evasion': 2, 'command-and-control': 1, 'initial-access': 1})"                                                                                                                                   ,"{'T1112', 'T1106', 'T1547.009', 'T1055.002', 'T1055.012', 'T1059.003', 'T1562.001', 'T1547.001', 'T1105', 'T1059.005', 'T1566.001', 'T1059.001'}"
HAFNIUM (G0125)            ,14/31       ,"Counter({'discovery': 4, 'command-and-control': 3, 'execution': 2, 'credential-access': 2, 'collection': 1, 'multiple': 1, 'persistence': 1})"                                                                                                   ,"{'T1057', 'T1033', 'T1083', 'T1059.003', 'T1003.001', 'T1005', 'T1016', 'T1105', 'T1078.003', 'T1071.001', 'T1132.001', 'T1003.003', 'T1098', 'T1059.001'}"
Ke3chang (G0004)           ,25/45       ,"Counter({'discovery': 9, 'collection': 3, 'command-and-control': 3, 'credential-access': 3, 'multiple': 3, 'defense-evasion': 1, 'execution': 1, 'exfiltration': 1, 'lateral-movement': 1})"                                                     ,"{'T1041', 'T1083', 'T1082', 'T1027', 'T1119', 'T1560', 'T1033', 'T1059.003', 'T1049', 'T1547.001', 'T1003.003', 'T1057', 'T1071.004', 'T1005', 'T1016', 'T1105', 'T1021.002', 'T1071.001', 'T1087.002', 'T1087.001', 'T1056.001', 'T1003.001', 'T1543.003', 'T1003.002', 'T1007'}"
Higaisa (G0126)            ,14/26       ,"Counter({'discovery': 4, 'execution': 3, 'command-and-control': 2, 'multiple': 2, 'defense-evasion': 1, 'exfiltration': 1, 'initial-access': 1})"                                                                                                ,"{'T1057', 'T1106', 'T1041', 'T1090.001', 'T1059.003', 'T1082', 'T1016', 'T1547.001', 'T1053.005', 'T1071.001', 'T1566.001', 'T1027', 'T1124', 'T1059.005'}"
IndigoZebra (G0136)        ,2/7         ,"Counter({'command-and-control': 1, 'initial-access': 1})"                                                                                                                                                                                        ,"{'T1105', 'T1566.001'}"
Indrik Spider (G0119)      ,10/21       ,"Counter({'execution': 3, 'defense-evasion': 2, 'collection': 1, 'command-and-control': 1, 'credential-access': 1, 'discovery': 1, 'multiple': 1})"                                                                                               ,"{'T1484.001', 'T1070.001', 'T1059.003', 'T1562.001', 'T1003.001', 'T1105', 'T1074.001', 'T1007', 'T1047', 'T1059.001'}"
LazyScripter (G0140)       ,8/20        ,"Counter({'execution': 3, 'command-and-control': 2, 'defense-evasion': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                                                   ,"{'T1071.004', 'T1059.003', 'T1547.001', 'T1105', 'T1059.005', 'T1036', 'T1566.001', 'T1059.001'}"
Leafminer (G0077)          ,6/17        ,"Counter({'credential-access': 3, 'discovery': 2, 'persistence': 1})"                                                                                                                                                                             ,"{'T1555', 'T1046', 'T1083', 'T1003.001', 'T1555.003', 'T1136.001'}"
Leviathan (G0065)          ,18/44       ,"Counter({'multiple': 5, 'execution': 3, 'collection': 2, 'command-and-control': 2, 'credential-access': 2, 'defense-evasion': 1, 'exfiltration': 1, 'initial-access': 1, 'lateral-movement': 1})"                                                ,"{'T1047', 'T1560', 'T1041', 'T1547.009', 'T1003.001', 'T1572', 'T1547.001', 'T1003', 'T1105', 'T1059.005', 'T1546.003', 'T1197', 'T1055.001', 'T1021.001', 'T1566.001', 'T1027', 'T1074.001', 'T1059.001'}"
Kimsuky (G0094)            ,35/89       ,"Counter({'discovery': 7, 'multiple': 7, 'defense-evasion': 6, 'execution': 3, 'command-and-control': 3, 'collection': 2, 'credential-access': 2, 'persistence': 2, 'exfiltration': 1, 'initial-access': 1, 'lateral-movement': 1})"              ,"{'T1055', 'T1562.004', 'T1041', 'T1083', 'T1518.001', 'T1070.004', 'T1082', 'T1566.001', 'T1027', 'T1059.001', 'T1055.012', 'T1059.003', 'T1562.001', 'T1547.001', 'T1555.003', 'T1036', 'T1136.001', 'T1057', 'T1005', 'T1016', 'T1105', 'T1219', 'T1078.003', 'T1021.001', 'T1071.001', 'T1012', 'T1059.005', 'T1112', 'T1056.001', 'T1003.001', 'T1543.003', 'T1074.001', 'T1007', 'T1053.005', 'T1098'}"
LAPSUS$ (G1004)            ,4/43        ,"Counter({'credential-access': 2, 'collection': 1, 'discovery': 1})"                                                                                                                                                                              ,"{'T1087.002', 'T1003.003', 'T1555.003', 'T1005'}"
Lazarus Group (G0032)      ,46/117      ,"Counter({'discovery': 11, 'defense-evasion': 8, 'multiple': 8, 'execution': 5, 'command-and-control': 4, 'collection': 3, 'exfiltration': 2, 'lateral-movement': 2, 'impact': 1, 'initial-access': 1, 'persistence': 1})"                        ,"{'T1070.003', 'T1562.004', 'T1041', 'T1010', 'T1070', 'T1090.001', 'T1036.003', 'T1083', 'T1070.004', 'T1082', 'T1134.002', 'T1566.001', 'T1027', 'T1059.001', 'T1046', 'T1497.001', 'T1560', 'T1033', 'T1562.001', 'T1049', 'T1059.003', 'T1547.001', 'T1055.001', 'T1057', 'T1547.009', 'T1005', 'T1016', 'T1105', 'T1021.002', 'T1021.001', 'T1071.001', 'T1048.003', 'T1012', 'T1047', 'T1491.001', 'T1124', 'T1059.005', 'T1087.002', 'T1056.001', 'T1543.003', 'T1074.001', 'T1218', 'T1053.005', 'T1132.001', 'T1106', 'T1098'}"
LuminousMoth (G1014)       ,10/28       ,"Counter({'collection': 2, 'command-and-control': 2, 'discovery': 2, 'multiple': 2, 'defense-evasion': 1, 'exfiltration': 1})"                                                                                                                    ,"{'T1560', 'T1041', 'T1112', 'T1033', 'T1083', 'T1005', 'T1547.001', 'T1105', 'T1053.005', 'T1071.001'}"
